Marker,x,y,z,t (s),Frame
0.0,-0.41040207438614645,-0.8294787748680587,1.734116048567414,0.16666666666666666,6.0
10.0,760.1148883504602,440.80117425243645,1.7342229122065476,0.16666666666666666,6.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.16666666666666666,6.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.16666666666666666,6.0
40.0,-0.44959799223982444,-1.2477097950190934,2.182646305921994,0.16666666666666666,6.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.2,7.0
10.0,760.0267970492486,440.952743394762,1.7320963670604599,0.2,7.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.2,7.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.2,7.0
40.0,-0.44878647504141445,-1.2452883858346426,2.178664634268057,0.2,7.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.23333333333333334,8.0
10.0,759.99664001675,441.00462650029954,1.7313684207915307,0.23333333333333334,8.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.23333333333333334,8.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.23333333333333334,8.0
40.0,-0.44878647504141445,-1.2452883858346426,2.178664634268057,0.23333333333333334,8.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.26666666666666666,9.0
10.0,759.9927556122136,441.0113030251332,1.7312747247912905,0.26666666666666666,9.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.26666666666666666,9.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.26666666666666666,9.0
40.0,-0.44878647504141445,-1.2452883858346426,2.178664634268057,0.26666666666666666,9.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.3,10.0
10.0,759.995616207729,441.00637371951774,1.7313438594343216,0.3,10.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.3,10.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.3,10.0
40.0,-0.44878647504141445,-1.2452883858346426,2.178664634268057,0.3,10.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.3333333333333333,11.0
10.0,759.9981709050219,441.0019709232268,1.7314056076550879,0.3333333333333333,11.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.3333333333333333,11.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.3333333333333333,11.0
40.0,-0.44878647504141445,-1.2452883858346426,2.178664634268057,0.3333333333333333,11.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.36666666666666664,12.0
10.0,759.9993208785934,440.99998538797826,1.7314334422359268,0.36666666666666664,12.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.36666666666666664,12.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.36666666666666664,12.0
40.0,-0.44878647504141445,-1.2452883858346426,2.178664634268057,0.36666666666666664,12.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.4,13.0
10.0,759.9996112592039,440.9994791514068,1.7314405229251686,0.4,13.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.4,13.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.4,13.0
40.0,-0.44878647504141445,-1.2452883858346426,2.178664634268057,0.4,13.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.43333333333333335,14.0
10.0,759.999593291307,440.99950373392215,1.7314401570363365,0.43333333333333335,14.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.43333333333333335,14.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.43333333333333335,14.0
40.0,-0.44878647504141445,-1.2452883858346426,2.178664634268057,0.43333333333333335,14.0
0.0,-0.4097719338836176,-0.8280703230630986,1.731437158784521,0.4666666666666667,15.0
10.0,759.9995283434654,440.9996094409243,1.7314386539200597,0.4666666666666667,15.0
20.0,-0.7095318090422668,-0.9342557395934432,2.119914769824902,0.4666666666666667,15.0
30.0,-0.7262645678904612,-1.258836000292624,2.2315677463918173,0.4666666666666667,15.0
40.0,-0.44878647504141445,-1.2452883858346426,2.178664634268057,0.4666666666666667,15.0
